token,frequency
potato fries and,2
fries and burgers,2
and burgers the,2
burgers the quality,2
all right for,2
right for the,2
for the money,2
the money and,2
money and it,2
friendly local nearby,2
local nearby is,2
a high-end english,2
high-end english restaurant,2
cheap and on,2
highly rated offer,2
from £30 in,2
reviews it serves,2
by the thames,2
and is well,2
is well rated,2
but leave the,2
at home if,2
home if you,2
happen to find,2
to find yourself,2
find yourself strolling,2
yourself strolling riverside,2
strolling riverside and,2
riverside and getting,2
and getting a,2
getting a bit,2
a bit hungry,2
bit hungry be,2
hungry be sure,2
great coffee ship,2
ship serving french,2
average price ranged,2
area this family,2
friendly restaurant sells,2
restaurant sells italian,2
food selling coffee,2
selling coffee shop,2
cheap average japanese,2
called near offers,2
offers high-quality food,2
friendly an serves,2
an italian theme,2
with prices at,2
just over £30,2
a £20 to,2
food served by,2
£20-25 english meal,2
average place in,2
riverside serving chinese,2
not allowed and,2
allowed and customers,2
poorly rated family,2
friendly eatery on,2
end is a,2
cheap family-friendly japanese,2
20 25 euros,2
range have a,2
average locate at,2
are friendly is,2
is not expensive,2
riverside near meals,2
generally cost more,2
near offers prices,2
a non-family-friendly venue,2
area however it,2
here at located,2
located near our,2
near our pub,2
by and serves,2
is medium price,2
and cheap fast,2
option near in,2
riverside near boasts,2
near boasts moderate,2
stars located at,2
family-friendly serves italian,2
pub right by,2
family-friendly the food,2
restaurant offering mid,2
offering mid priced,2
drink located close,2
shop just outside,2
in cost and,2
range with ratings,2
although they have,2
riverside area more,2
area more than,2
and cheap indian,2
food try located,2
near is moderate,2
poor reviews a,2
5 rating french,2
coffee chop called,2
rating but yes,2
that is sure,2
to is near,2
the family coffee,2
shop style food,2
price rage and,2
featuring wine and,2
average pub located,2
near is less,2
sells traditional english,2
restaurant providing children,2
friendly food price,2
food price ranged,2
great japanese coffee,2
pub is is,2
food pub less,2
pub less than,2
of sushi is,2
the food menu,2
menu is english,2
they sell sushi,2
sell sushi it,2
priced eatery located,2
low-priced pub called,2
an average non-family-friendly,2
average non-family-friendly fast,2
family friendly moderate,2
they said yes,2
said yes at,2
yes at the,2
the food french,2
food french in,2
food restaurant whose,2
£20 located at,2
and is sited,2
restaurant is riverside,2
has italian is,2
adult oriented chinese,2
area providing french,2
friendly it was,2
pub an average,2
1 star has,2
kid friendly average,2
high priced well,2
priced well reviewed,2
well reviewed french,2
reviewed french food,2
winery that is,2
affordable it has,2
centre and right,2
highly rated can,2
called has average,2
and is moderately-priced,2
is moderately-priced in,2
family-friendly and having,2
5 at a,2
at a kid-friendly,2
centre the high,2
prices a family,2
food its rating,2
anyone on a,2
with a below,2
low priced rated,2
fine food is,2
high class coffee,2
center with servers,2
with servers up,2
servers up fantastic,2
up fantastic fast,2
fantastic fast food,2
in a store,2
a store name,2
from city centre,2
prices and ratings,2
star family-friendly fast,2
the family near,2
family near crown,2
pub that located,2
area riverside there,2
rated and with,2
italian styled coffee,2
riverside the 5,2
which offers wine,2
to try which,2
try which has,2
per person serves,2
a adult fast,2
and cheeses in,2
high close to,2
the river japanese,2
restaurant near english,2
near english people,2
english people rating,2
£20 and italian,2
food its in,2
priced riverside location,2
situated by is,2
by is is,2
moderate priced with,2
bad rating coffee,2
in pricing customers,2
pricing customers rate,2
receiving high ratings,2
rated cheap italian,2
food restaurant average,2
near its called,2
centre near kid,2
cheap meal in,2
riverside pub close,2
friendly located along,2
d'oeuvres in the,2
family-friendly customers have,2
in the 20-25£,2
the 20-25£ price,2
20-25£ price range,2
get good reviews,2
food establishment not,2
5 rating indian,2
clentele it is,2
a location that,2
friendly but not,2
near offering english,2
place for fast,2
a moderately-priced fast-food,2
fast-food chain that,2
fast there is,2
in the crown,2
adult environment a,2
restaurant offers high,2
priced not kids,2
is good at,2
center is coffee,2
medium pricing and,2
also rated as,2
is just up,2
just up from,2
up from the,2
upscale italian cuisine,2
english cuisine they,2
cuisine they have,2
offers a fine,2
experience that is,2
located close by,2
30 pounds per,2
friendly venue and,2
named rated 1,2
north city that,2
city that delivers,2
that delivers family,2
delivers family services,2
here at our,2
at our pub,2
food offers low,2
offers low rated,2
environment and an,2
around £30 but,2
family-friendly establishment in,2
a fine-dining atmosphere,2
's a place,2
average of 3,2
of 5 client,2
5 client rating,2
food serves moderately,2
with menu prices,2
high price customer,2
dining restaurant near,2
star rating along,2
serves medium-priced fast,2
kids and have,2
cambridge is an,2
you 're after,2
highly recommended near,2
recommended near in,2
this is near,2
is expensive serves,2
affordable price and,2
food though not,2
though not family,2
a inexpensive 5,2
inexpensive 5 star,2
by customer it,2
customer it is,2
priced the serves,2
near located close,2
food is serving,2
offers family food,2
rating italian coffee,2
called italian restaurant,2
range called although,2
called although non-family-friendly,2
pricey french restaurant,2
with family and,2
family and friend,2
friend in the,2
the offering a,2
rating near and,2
place that 's,2
public moderate french,2
mid-cost coffee shop,2
called restaurant offers,2
cheap and have,2
that served italian,2
riverside area received,2
area received a,2
kids-friendly restaurant located,2
friendly restaurant i,2
restaurant i love,2
love the coffee,2
coffee shop even,2
shop even though,2
do have 5,2
with its low,2
moderate prices restaurant,2
too expensive and,2
has some of,2
best food in,2
food to the,2
of £20 -25,2
style eatery serves,2
shop providing sea,2
to river a,2
to eat its,2
eat its location,2
date night is,2
's are not,2
city centre contains,2
centre contains an,2
are near with,2
fast food available,2
food available for,2
quality is not,2
shop yes kids-friendly,2
yes kids-friendly riverside,2
kids-friendly riverside 1,2
5 is low,2
average is restaurant,2
for families providing,2
food average prices,2
£20-25 and children,2
try close to,2
received three out,2
range we have,2
named had a,2
of 20-25 there,2
serving cheap japanese,2
no children cheap,2
children cheap food,2
cheap food outlet,2
food outlet no,2
outlet no less,2
per meal near,2
meal near in,2
is a higher-cost,2
welcome with a,2
restaurants are not,2
are not kids-friendly,2
kids-friendly they are,2
offer moderate priced,2
than average for,2
with children located,2
english cuisine for,2
by the north,2
low rating provides,2
at low rated,2
is average riverside,2
cheap three-star family,2
beside is located,2
5 rating an,2
you like to,2
that coffee shop,2
at £20-25 and,2
located near check,2
great city centre,2
centre location near,2
near the come,2
cost you more,2
than £30 though,2
though in the,2
for an high,2
range at a,2
at a kids,2
friendly it located,2
food restaurant north,2
at highly rated,2
the river prices,2
from 20-25 the,2
been given poor,2
given poor reviews,2
prices above average,2
high a child,2
rating near children,2
food named has,2
£30 and low,2
available near riverside,2
5 customer review,2
for families situated,2
range we are,2
low rating french,2
center near offers,2
suffers from a,2
's average in,2
wine and has,2
£20-25 and can,2
and can found,2
can found near,2
found near provides,2
is a mediocre,2
serves oriental food,2
to families a,2
pub offering modestly,2
offering modestly priced,2
menu items that,2
items that range,2
that range less,2
riverside area low,2
area low customer,2
rating cheap french,2
the end if,2
end if the,2
if the city,2
price dine in,2
non-kid friendly coffee,2
5 rating among,2
riverside called this,2
english food ranging,2
rating if japanese,2
if japanese is,2
japanese is what,2
range in moderate,2
seafood and oriental,2
and oriental dining,2
dishes with a,2
range situated near,2
kids-friendly and moderately,2
rated in city,2
shop offers average,2
rated food and,2
establishment is an,2
riverside has customer,2
restaurant offers coffee,2
pub for eating,2
eating italian food,2
the a good,2
range families can,2
families can find,2
find a fair,2
shop named close,2
range customer service,2
of average near,2
friendly restaurant just,2
from they offer,2
moderate prices has,2
£20-£25 it 's,2
this adult coffee,2
near the sells,2
only a coffee,2
the is riverside,2
but price range,2
its available near,2
average by customer,2
not provide family,2
provide family services,2
pub is which,2
£20-£25 japanese food,2
food place '__slot_con_name__,2
place '__slot_con_name__ is,2
excellent choice for,2
to eat out,2
bit pricey it,2
centre near crown,2
cheap eats is,2
eats is a,2
cheaply priced riverside,2
city centre adult,2
average prices while,2
prices while boasting,2
while boasting a,2
customer approval rate,2
approval rate is,2
average price average,2
price average rating,2
river side its,2
have a five-star,2
chinese restaurant where,2
where meals are,2
is also expensive,2
and rated high,2
english style cuisine,2
of five from,2
welcomes families a,2
families a coffee,2
and has mixed,2
friendly eat type,2
try the pub,2
cheap sushi serving,2
sushi serving restaurant,2
family-friendly a kid-friendly,2
only average it,2
named and serves,2
family-friendly as a,2
the riverside may,2
rating for good,2
kid friendly found,2
the waterfront offering,2
waterfront offering 3,2
service at an,2
cheap pub of,2
rating named there,2
is a well-rated,2
a well-rated coffee,2
well-rated coffee shop,2
serves pasta the,2
english riverside pub,2
mid-price 5-star family,2
5-star family restaurant,2
it 's north,2
's north of,2
a eat in,2
provides an average,2
an average dining,2
japanese foods the,2
20 located in,2
despite their low,2
ratings prices are,2
want to find,2
near try they,2
try they have,2
riverside they provide,2
pub atmosphere for,2
the medium range,2
excellent rating between,2
rating between the,2
between the comensales,2
venue sited near,2
not highly recommended,2
rating by riverside,2
offering meals at,2
satisfaction is 5,2
eatery named is,2
poorly reviewed italian,2
5 is at,2
l30 the customer,2
family-friendly cheaply priced,2
shop boasts a,2
non-kid friendly chinese,2
riverside area eat,2
area eat at,2
and snacks it,2
snacks it is,2
per visit the,2
visit the pub,2
high a fast,2
stars serving up,2
serving up italian,2
city center no,2
center no children,2
welcome close to,2
a average cheap,2
average cheap family,2
shop very close,2
brings you a,2
